text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,negative,guess whos not getting unicorn frappuccino because theyre sold out unhappy,guess whos getting unicorn frappuccino theyre sold unhappy,guess who get unicorn frappuccino theyr sold unhappi,guess who getting unicorn frappuccino theyre sold unhappy,guess who get unicorn frappuccino theyr sold unhappi,guess who getting unicorn frappuccino theyre sold unhappy
Would really like it if the coandsole versioands and got the update to makr it like the Steam versioand. =(,negative,would really like it if the coandsole versioands and got the update to makr it like the steam versioand,would really like coandsole versioands got update makr like steam versioand,would realli like coandsol versioand got updat makr like steam versioand,would really like coandsole versioands got update makr like steam versioand,would realli like coandsol versioand got updat makr like steam versioand,would really like coandsole versioands got update makr like steam versioand
Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,negative,hi we tried to call your number but got no response unhappy please share another suitable time and an alternate number cont,hi tried call number got response unhappy please share another suitable time alternate number cont,hi tri call number got respons unhappi pleas share anoth suitabl time altern number cont,hi tried call number got response unhappy please share another suitable time alternate number cont,hi tri call number got respons unhappi pleas share anoth suitabl time altern number cont,hi tried call number got response unhappy please share another suitable time alternate number cont
Sooooo feels like a Friday today unhappy ,negative,sooooo feels like friday today unhappy,sooooo feels like friday today unhappy,sooooo feel like friday today unhappi,sooooo feel like friday today unhappy,soo feel like friday today unhappi,soo feel like friday today unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
I miss talking to yoyoyou  who are yoyou younhappy  yoyou can always still talk to me ,negative,miss talking to yoyoyou who are yoyou younhappy yoyou can always still talk to me,miss talking yoyoyou yoyou younhappy yoyou always still talk,miss talk yoyoy yoyou younhappi yoyou alway still talk,miss talking yoyoyou yoyou younhappy yoyou always still talk,miss talk yoyoy yoyou younhappi yoyou alway still talk,miss talking yoyoyou yoyou younhappy yoyou always still talk
This picture makes me sad unhappy  ,negative,this picture makes me sad unhappy,picture makes sad unhappy,pictur make sad unhappi,picture make sad unhappy,pictur make sad unhappi,picture make sad unhappy
why can't dogs just live forever unhappy ,negative,why cant dogs just live forever unhappy,cant dogs live forever unhappy,cant dog live forev unhappi,cant dog live forever unhappy,cant dog live forev unhappi,cant dog live forever unhappy
I understand that look sad ,negative,understand that look sad,understand look sad,understand look sad,understand look sad,understand look sad,understand look sad
my boyfriend mad cute unhappy ,negative,my boyfriend mad cute unhappy,boyfriend mad cute unhappy,boyfriend mad cute unhappi,boyfriend mad cute unhappy,boyfriend mad cute unhappi,boyfriend mad cute unhappy
i miss minmin crying ,negative,miss minmin crying,miss minmin crying,miss minmin cri,miss minmin cry,miss minmin cri,miss minmin cry
good morning i had a nightmare and i'm still wondering why maddie hates me. this is only the beginning of the day unhappy ,negative,good morning had nightmare and im still wondering why maddie hates me this is only the beginning of the day unhappy,good morning nightmare im still wondering maddie hates beginning day unhappy,good morn nightmar im still wonder maddi hate begin day unhappi,good morning nightmare im still wondering maddie hate beginning day unhappy,good morn nightmar im still wonder maddi hate begin day unhappi,good morning nightmare im still wondering maddie hate beginning day unhappy
pake unhappy ,negative,pake unhappy,pake unhappy,pake unhappi,pake unhappy,pake unhappi,pake unhappy
I miss London already unhappy ,negative,miss london already unhappy,miss london already unhappy,miss london alreadi unhappi,miss london already unhappy,miss london alreadi unhappi,miss london already unhappy
jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,negative,jyoustinbieber can you please follow me on daianeryoufato ive been trying for too long unhappy love you so much baby xx april,jyoustinbieber please follow daianeryoufato ive trying long unhappy love much baby xx april,jyoustinbieb pleas follow daianeryoufato ive tri long unhappi love much babi xx april,jyoustinbieber please follow daianeryoufato ive trying long unhappy love much baby xx april,jyoustinbieb pleas follow daianeryoufato ive tri long unhappi love much babi xx april,jyoustinbieber please follow daianeryoufato ive trying long unhappy love much baby xx april
 2017 at 08:45AM),negative,at am,,,,,
Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,negative,deep scratch all the paint is gone you see the bare metal so it needs to be fixed to avoid getting rusting car soon unhappy,deep scratch paint gone see bare metal needs fixed avoid getting rusting car soon unhappy,deep scratch paint gone see bare metal need fix avoid get rust car soon unhappi,deep scratch paint gone see bare metal need fixed avoid getting rusting car soon unhappy,deep scratch paint gone see bare metal need fix avoid get rust car soon unhappi,deep scratch paint gone see bare metal need fixed avoid getting rusting car soon unhappy
when will you go here in batangas? sad  ,negative,when will you go here in batangas sad,go batangas sad,go batanga sad,go batangas sad,go batanga sad,go batangas sad
I miss you more unhappy ,negative,miss you more unhappy,miss unhappy,miss unhappi,miss unhappy,miss unhappi,miss unhappy
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative,only just absorbed that im not going to get to laugh when he gets votes unhappy,absorbed im going get laugh gets votes unhappy,absorb im go get laugh get vote unhappi,absorbed im going get laugh get vote unhappy,absorb im go get laugh get vote unhappi,absorbed im going get laugh get vote unhappy
this wasnt meant to sound ano sad ,negative,this wasnt meant to sound ano sad,wasnt meant sound ano sad,wasnt meant sound ano sad,wasnt meant sound ano sad,wasnt meant sound ano sad,wasnt meant sound ano sad
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca,damn theres people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca
One year ago today unhappy  ,negative,one year ago today unhappy,one year ago today unhappy,one year ago today unhappi,one year ago today unhappy,one year ago today unhappi,one year ago today unhappy
this song will always be one of my faves unhappy  ,negative,this song will always be one of my faves unhappy,song always one faves unhappy,song alway one fave unhappi,song always one faves unhappy,song alway one fave unhappi,song always one faves unhappy
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative,talking to my over driver about where im goinghe said hed love to go to new york too but since trump its probably not,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably
fuck get me followers unhappy  my ratio is amazing,negative,fuck get me followers unhappy my ratio is amazing,fuck get followers unhappy ratio amazing,fuck get follow unhappi ratio amaz,fuck get follower unhappy ratio amazing,fuck get follow unhappi ratio amaz,fuck get follower unhappy ratio amazing
mom please stop making cookies,negative,mom please stop making cookies,mom please stop making cookies,mom pleas stop make cooki,mom please stop making cooky,mom pleas stop make cooki,mom please stop making cooky
